"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "JSON with Comments", "JavaScript", "XML", "Log", "comment", "blank", "total"
"/Users/arharutyunyan/Desktop/yvnow/src/components/MiniProfile/MiniProfile.tsx", "TypeScript JSX", 0, 70, 0, 0, 0, 0, 0, 0, 9, 79
"/Users/arharutyunyan/Desktop/yvnow/src/components/NoData/NoData.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/arharutyunyan/Desktop/yvnow/src/components/Skeleton/EventCartSkeleton/EventCartSkeleton.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/arharutyunyan/Desktop/yvnow/src/components/Skeleton/EventCartSkeleton/EventCartSkeletonWrapper.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/arharutyunyan/Desktop/yvnow/src/components/SkeletonLoader/SkeletonCard/SkeletonCard.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/arharutyunyan/Desktop/yvnow/src/components/SkeletonLoader/SkeletonLoader.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/arharutyunyan/Desktop/yvnow/src/components/SlideFromRight/SlideFromRight.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 10, 51
"/Users/arharutyunyan/Desktop/yvnow/src/components/Slider.tsx", "TypeScript JSX", 0, 72, 0, 0, 0, 0, 0, 0, 10, 82
"/Users/arharutyunyan/Desktop/yvnow/src/components/Svg/Svg.tsx", "TypeScript JSX", 0, 226, 0, 0, 0, 0, 0, 0, 10, 236
"/Users/arharutyunyan/Desktop/yvnow/src/constants/server.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 1, 3, 26
"/Users/arharutyunyan/Desktop/yvnow/src/constants/styles.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 2, 36
"/Users/arharutyunyan/Desktop/yvnow/src/helpers/helper.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 3, 20, 109
"/Users/arharutyunyan/Desktop/yvnow/src/hook/reduxHooks.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/arharutyunyan/Desktop/yvnow/src/hook/themeMode.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/Users/arharutyunyan/Desktop/yvnow/src/hook/translatedRoutes.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/arharutyunyan/Desktop/yvnow/src/hook/translationHook.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/arharutyunyan/Desktop/yvnow/src/locales/am/am.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 0, 1, 41
"/Users/arharutyunyan/Desktop/yvnow/src/locales/en/en.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 1, 42
